sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,79,細懸浮微粒,普通,1.4,0.32,82.5,62.0,62,31,8.2,8.6,0.4,1,320,"2024-11-21 16:00",,0.3,26.7,53,0,120.651472,22.260899,313
宜蘭（頭城）,宜蘭縣,34,,良好,0,0.14,38,37.9,7,0,4.7,5.3,0.6,1.2,53,"2024-11-21 16:00",,0.1,0.9,4,0,121.82463916,24.85366672,312
新北(樹林),新北市,35,,良好,0.5,0.33,19.8,21.9,12,3,21.9,27.7,5.8,0,162,"2024-11-21 16:00",,0.2,2.7,7,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,93,細懸浮微粒,普通,1.2,0.34,71.3,47.7,63,28,7.2,8,0.8,2.9,319,"2024-11-21 16:00",,0.4,32.6,63,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,55,懸浮微粒,普通,1.1,0.22,43,34.6,99,12,7,8.2,1.2,3,2,"2024-11-21 16:00",,0.2,13.2,55,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,57,細懸浮微粒,普通,1.7,0.24,51.7,37.9,72,16,9.3,10.7,1.4,1.3,249,"2024-11-21 16:00",,0.3,18.1,44,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,30,,良好,1.4,,32.4,32.0,25,4,9,11.2,2.1,2,346,"2024-11-21 16:00",,0.2,4.3,18,1,120.56373,23.96117,201
大城,彰化縣,43,,良好,1,0.13,46.2,46.1,21,6,0.9,4,3,8.5,51,"2024-11-21 16:00",,0.1,7,17,0,120.26964167,23.85493056,85
富貴角,新北市,42,,良好,0,0.15,45.3,45.4,25,5,1.8,1.8,0,11.3,41,"2024-11-21 16:00",,0.1,4.5,27,0,121.53656894,25.29681695,84
麥寮,雲林縣,47,,良好,1.3,0.17,,41.7,91,20,5.6,7.1,1.4,6.8,359,"2024-11-21 16:00",,0.1,10.3,47,2,120.251825,23.753506,83
關山,臺東縣,34,,良好,1,0.15,39.5,37.1,22,0,2.8,3.6,0.7,3.3,19,"2024-11-21 16:00",,0.1,1.7,19,0,121.161933,23.045083,80
馬公,澎湖縣,37,,良好,1.9,0.2,38.8,40.9,14,5,4,5.2,1.2,8.5,36,"2024-11-21 16:00",,0.1,4.5,14,1,119.566158,23.569031,78
金門,金門縣,21,,良好,1,0.24,37.7,23.8,16,7,9.4,9.7,0.2,2.6,67,"2024-11-21 16:00",,0.2,6.6,10,1,118.312256,24.432133,77
馬祖,連江縣,45,,良好,0.7,0.22,37.6,30.8,23,15,4.4,5,0.5,2.7,328,"2024-11-21 16:00",,0.2,14,21,0,119.952724,26.153736,75
埔里,南投縣,41,,良好,1.3,0.25,44.7,29.6,20,12,5.3,6.6,1.2,1.5,292,"2024-11-21 16:00",,0.2,12.7,18,1,120.967903,23.968842,72
復興,高雄市,108,細懸浮微粒,對敏感族群不健康,0.7,0.33,59.3,45.1,75,35,14.2,15.4,1.2,0.9,249,"2024-11-21 16:00",,0.5,38.2,54,1,120.312017,22.608711,71
永和,新北市,25,,良好,0.9,0.35,28.8,27.3,7,2,14.1,18.1,4,1.4,84,"2024-11-21 16:00",,0.3,2.5,5,1,121.516306,25.017,70
竹山,南投縣,48,,良好,1.1,0.22,42.3,34.5,23,9,11.7,12.4,0.7,2.8,15,"2024-11-21 16:00",,0.2,14.7,24,1,120.677306,23.756389,69
